pid,comm,state,ppid,pgrp,session,tty_nr,tpgid,flags,minflt,cminflt,majflt,cmajflt,utime,stime,cutime,cstime,priority,nice,num_threads,itrealvalue,starttime,vsize,rss,rsslim,startcode,endcode,startstack,kstkesp,kstkeip,signal,blocked,sigignore,sigcatch,wchan,nswap,cnswap,exit_signal,processor,rt_priority,policy,delayacct_blkio_ticks,guest_time,cguest_time,start_data,end_data,start_brk,arg_start,arg_end,env_start,env_end,exit_code
16794,(python3),R,16773,16794,16794,0,-1,4194560,22606,0,201,0,2,10,0,0,20,0,1,0,5874598,135614464,16256,18446744073709551615,187650354577408,187650354580084,281474309766928,0,0,0,0,16781312,2,0,0,0,17,0,0,0,0,0,0,187650354707880,187650354708536,187651303145472,281474309770953,281474309770969,281474309770969,281474309771233,0
19776,(python3),R,19752,19776,19776,0,-1,4194560,3500,0,266,0,2,1,0,0,20,0,1,0,6029071,23306240,2373,18446744073709551615,187650040856576,187650040859252,281473975726912,0,0,0,0,16781312,2,0,0,0,17,0,0,0,0,0,0,187650040987048,187650040987704,187651070898176,281473975729865,281473975729881,281473975729881,281473975730145,0
19849,(python3),R,19826,19849,19849,0,-1,4194560,3655,0,271,0,1,1,0,0,20,0,1,0,6030375,22257664,2629,18446744073709551615,187650312306688,187650312309364,281474785724128,0,0,256,0,16781312,2,0,0,0,17,0,0,0,0,0,0,187650312437160,187650312437816,187650577133568,281474785726153,281474785726169,281474785726169,281474785726433,9
19958,(python3),R,19935,19958,19958,0,-1,4194560,3667,0,288,0,1,1,0,0,20,0,1,0,6032959,22257664,2479,18446744073709551615,187650089025536,187650089028212,281474328332800,0,0,0,0,16781312,2,0,0,0,17,0,0,0,0,0,0,187650089156008,187650089156664,187650349219840,281474328334025,281474328334041,281474328334041,281474328334305,0
20031,(python3),R,20009,20031,20031,0,-1,4194560,3635,0,262,0,1,1,0,0,20,0,1,0,6038103,22257664,2597,18446744073709551615,187650174550016,187650174552692,281473951014848,0,0,0,0,16781312,2,0,0,0,17,0,0,0,0,0,0,187650174680488,187650174681144,187651020132352,281473951018697,281473951018713,281473951018713,281473951018977,0
20104,(python3),R,20083,20104,20104,0,-1,4194560,3555,0,276,0,1,1,0,0,20,0,1,0,6044127,23306240,2565,18446744073709551615,187650684551168,187650684553844,281474793913536,0,0,0,0,16781312,2,0,0,0,17,0,0,0,0,0,0,187650684681640,187650684682296,187650695499776,281474793914057,281474793914073,281474793914073,281474793914337,0
20852,(python3),R,20829,20852,20852,0,-1,4196608,16527,0,264,0,2,8,0,0,20,0,1,0,6080848,135614464,16232,18446744073709551615,187650277441536,187650277444212,281474936279072,0,0,256,0,16781312,2,0,0,0,17,0,0,0,0,0,0,187650277572008,187650277572664,187651318714368,281474936282825,281474936282841,281474936282841,281474936283105,9
21323,(python3),R,21300,21323,21323,0,-1,4194560,25423,0,140,0,3,8,0,0,20,0,1,0,6085251,136663040,16309,18446744073709551615,187650891644928,187650891647604,281474952205968,0,0,0,0,16781312,2,0,0,0,17,0,0,0,0,0,0,187650891775400,187650891776056,187651630563328,281474952208073,281474952208089,281474952208089,281474952208353,0
21677,(python3),R,21636,21677,21677,0,-1,4196608,57374,0,294,0,7,22,0,0,20,0,1,0,6094877,273793024,32923,18446744073709551615,187650991587328,187650991590004,281474183062064,0,0,256,0,16781312,2,0,0,0,17,0,0,0,0,0,0,187650991717800,187650991718456,187651389112320,281474183065289,281474183065305,281474183065305,281474183065569,9
22257,(python3),R,22236,22257,22257,0,-1,4194560,51216,0,184,0,3,17,0,0,20,0,1,0,6099970,219582464,19348,18446744073709551615,187650192965632,187650192968308,281474339240128,0,0,256,0,16781312,2,0,0,0,17,0,0,0,0,0,0,187650193096104,187650193096760,187651190272000,281474339241673,281474339241689,281474339241689,281474339241953,9
51093,(stress-ng-vm),R,50984,50929,50929,0,-1,4196416,55546,0,51,0,9,6,0,0,20,0,1,0,6745900,603209728,24150,18446744073709551615,140737488510976,140737488970632,281473984935120,0,0,256,0,0,595649719,0,0,0,17,5,0,0,0,0,0,140737489010688,140737490079928,140737929805824,281473984937736,281473984937842,281473984937842,281473984937957,9
51524,(stress-ng-vm),R,51353,51297,51297,0,-1,4194368,31217,0,49,0,5,3,0,0,20,0,1,0,6775259,469192704,16306,18446744073709551615,140737488510976,140737488970632,281474306692864,0,0,256,0,0,595649719,0,0,0,17,6,0,0,0,0,0,140737489010688,140737490079928,140737522331648,281474306694898,281474306695026,281474306695026,281474306695141,9
54068,(stress-ng-vm),R,51994,51937,51937,0,-1,541067328,197046,0,33768,0,29,300,0,0,20,0,1,0,6839906,469573632,2017,18446744073709551615,140737488510976,140737488970632,281474522361568,0,0,256,0,0,595649719,0,0,0,17,8,0,0,0,0,0,140737489010688,140737490079928,140738174533632,281474522365661,281474522365810,281474522365810,281474522365925,9
60997,(stress-ng-vm),R,60191,60135,60135,0,-1,4195404,6910,0,3,0,1,0,0,0,20,0,1,0,6868652,0,0,18446744073709551615,0,0,0,0,0,0,0,0,595649719,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,9
63165,(stress-ng-vm),R,62372,62317,62317,0,-1,4195404,13929,0,0,0,2,0,0,0,20,0,1,0,6892437,0,0,18446744073709551615,0,0,0,0,0,0,0,0,595649719,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,9
